filename	rise_start	rise_end	fall_start	fall_end
323.9_433.4.tsv	91	160	195	216
280.2_329.1.tsv	38	63	79	100
228.1_300.4.tsv	183	213	239	255
106.9_205.9.tsv	87	110	115	142
133.2_228.4.tsv	103	113	158	178
342.3_417.4.tsv	75	85	152	252
435.4_462.4.tsv	205	246	279	304
255.8_437.4.tsv	122	125	139	163
136.1_222.2.tsv	33	53	64	99
430.7_557.6.tsv	52	69	126	158
255.0_506.6.tsv	56	84	103	134
466.9_617.0.tsv	100	114	128	149
299.2_479.6.tsv	83	102	128	163
384.5_467.4.tsv	165	175	190	204
250.3_337.3.tsv	59	125	145	178
126.8_280.8.tsv	98	128	136	150
282.4_308.9.tsv	131	166	189	214
356.8_459.5.tsv	203	214	224	250
327.8_362.6.tsv	179	202	220	229
248.5_527.4.tsv	73	105	119	162
223.4_358.7.tsv	99	113	126	147
571.9_617.6.tsv	46	70	150	203
148.1_217.4.tsv	102	112	128	150
116.9_207.8.tsv	119	134	155	194
160.8_237.4.tsv	253	266	282	312
405.8_528.4.tsv	125	142	155	177
272.4_349.4.tsv	240	273	306	364
236.0_437.6.tsv	155	169	202	221
235.7_336.6.tsv	120	137	149	182
171.8_297.6.tsv	92	114	184	220
467.1_616.6.tsv	62	93	107	139
352.5_376.9.tsv	70	113	133	167
157.4_227.3.tsv	125	145	184	204
186.3_227.1.tsv	107	180	189	227
347.1_441.9.tsv	139	191	205	232
253.5_275.0.tsv	50	112	133	154
480.3_617.1.tsv	191	234	246	263
314.8_438.0.tsv	108	135	153	187
137.4_146.8.tsv	36	81	102	133
305.6_419.5.tsv	115	144	150	185
432.7_566.8.tsv	134	198	215	247
179.9_227.3.tsv	99	136	148	177
492.4_547.3.tsv	16	45	70	89
256.7_426.9.tsv	211	256	293	329
239.9_356.1.tsv	106	141	155	188
260.7_287.0.tsv	103	117	126	149
227.4_267.0.tsv	13	96	167	302
516.5_587.7.tsv	147	180	190	212
221.9_359.6.tsv	51	71	127	139
219.4_324.4.tsv	122	134	144	181
247.5_297.1.tsv	75	127	138	171
