filename	rising_voltage	stopping_voltage	v_rise	v_rise_unc	v_fall	v_fall_unc	r_squared_rise	r_squared_fall	reduced_chi_squared_rise	reduced_chi_squared_fall	rise_intercept	rise_intercept_unc	fall_intercept	fall_intercept_unc
317.8_342.2.tsv	342.2.tsv	317.8	-1.0074782379307223e-05	2.3096679163693997e-07	0.00015350363524984905	3.6163114059598387e-07	0.9769548319983119	0.9998678091032923	12.526804632078257	3.0050617158893176	0.000732935609964144	2.344301280009796e-06	-0.0014174472125872372	5.143287670801689e-06
457.7_512.6.tsv	512.6.tsv	457.7	-2.3283104837025797e-05	1.7521768989022944e-07	0.0002875690062906615	9.70559804142749e-07	0.9970033311242431	0.9997943771382891	16.559809380475244	10.551615910461505	0.0006211125238045697	6.86772956146063e-07	-0.0014615626566054504	7.5352612835279895e-06
192.7_232.3.tsv	232.3.tsv	192.7	-7.2698046915760015e-06	1.4159403501924473e-07	3.557270212321143e-05	1.234437338469328e-07	0.9738503649927076	0.9984973840037643	182.49423646125697	197.58095172952372	0.0002686200236089838	1.033574001898352e-06	-0.0003361189431288273	2.533508387866432e-06
221.1_402.7.tsv	402.7.tsv	221.1	-2.651826182021394e-05	1.7082614592463466e-07	4.032028875185966e-05	3.6906690061656655e-07	0.9977649788370241	0.997346684786363	4.1388861855419385	4.573200325082773	0.0012696986292085586	1.599754815542101e-06	0.0004055512300552969	5.685764299548217e-06
222.0_392.2.tsv	392.2.tsv	222.0	-2.188712113928679e-05	2.1110574624097885e-07	3.43904981758189e-05	4.536378143014002e-07	0.9956259702765149	0.9925060781457385	8.543831634927857	27.07285295891803	0.0012514498255274081	4.931482848029121e-06	-0.0002860901733911635	1.3850288415890435e-05
220.3_471.9.tsv	471.9.tsv	220.3	-4.193928659176479e-05	4.2309851622333695e-07	3.604396972354013e-05	1.963279673332038e-07	0.9957338975334337	0.998896891955866	31.45889888824178	5.408008068340683	0.0009067437391367674	2.616067257915693e-06	0.00021220122960371272	2.3277980586382994e-06
205.2_321.4.tsv	321.4.tsv	205.2	-2.0249705363777578e-05	4.2416291647304683e-07	3.6077629057870396e-05	3.5179101606174635e-07	0.9853415770762052	0.9962832143458655	34.58893370586378	28.82150058772594	0.0006899555836620819	5.104508849584947e-06	-0.00014810255979079502	6.260110135506419e-06
213.8_492.7.tsv	492.7.tsv	213.8	-4.5847238513771325e-05	2.716386536160069e-07	3.184902281017237e-05	3.222720914641414e-07	0.998262661146993	0.9938785156485254	49.37161151675536	124.1286705716221	0.0007779475941987496	2.2247759207822834e-06	-9.91537562401627e-05	4.827780845885904e-06
293.1_327.9.tsv	327.9.tsv	293.1	-1.0144659103538721e-05	1.2225995213543265e-07	0.00015414699483346075	7.92010286333901e-07	0.9886555176225956	0.999581705116036	8.983401722537831	2.8459756186542715	0.0010686643881671267	1.9381809443630547e-06	-0.0025242813389651244	1.800411913389599e-05
264.5_444.9.tsv	444.9.tsv	264.5	-2.540513165118076e-05	5.211940393891688e-07	3.7990769002240244e-05	3.5222261449250664e-07	0.9806119812798199	0.9959244363983311	108.47028413324965	46.84918532559451	0.0006703943210961138	4.196260047628985e-06	-6.775725437302379e-05	5.329156927651847e-06
